Fecha	Vista	
08/04/2021	342183837,59	
07/04/2021	457348613,70	
06/04/2021	341877007,08	
05/04/2021	184176750,80	
31/03/2021	432361799,95	
30/03/2021	356049985,18	
29/03/2021	465542597,41	
26/03/2021	356324900,07	
25/03/2021	196749999,51	
24/03/2021	309922838,38	
23/03/2021	170739957,60	
22/03/2021	351556003,83	
18/03/2021	299173204,26	
17/03/2021	172302090,85	
16/03/2021	419433132,61	
15/03/2021	349964108,94	
12/03/2021	165321806,23	
11/03/2021	421357947,81	
10/03/2021	348472862,04	
09/03/2021	372358995,87	
08/03/2021	426731498,27	
05/03/2021	211354756,74	
04/03/2021	423727514,16	
03/03/2021	337978058,82	
02/03/2021	253025282,52	
01/03/2021	375645966,02	
26/02/2021	229422358,06	
25/02/2021	330777031,93	
24/02/2021	344138337,59	
23/02/2021	312610826,84	
22/02/2021	427880542,11	
19/02/2021	256169375,20	
18/02/2021	327114717,94	
17/02/2021	204637666,80	
12/02/2021	390906896,88	
11/02/2021	115987731,79	
10/02/2021	353062891,18	
09/02/2021	333860893,01	
08/02/2021	166442695,03	
05/02/2021	322078839,85	
04/02/2021	212478014,64	
03/02/2021	354176289,93	
02/02/2021	337209971,15	
01/02/2021	131697202,48	
29/01/2021	197383595,43	
28/01/2021	114819299,37	
27/01/2021	229327177,69	
26/01/2021	311603212,10	
25/01/2021	243679871,88	
22/01/2021	384112483,36	
21/01/2021	309221495,93	
20/01/2021	117478593,99	
19/01/2021	328288702,23	
15/01/2021	362678122,29	
14/01/2021	206486516,08	
13/01/2021	113479434,60	
12/01/2021	260447056,59	
08/01/2021	383365253,72	
07/01/2021	279210575,20	
06/01/2021	232564935,78	
05/01/2021	156488509,67	
04/01/2021	372062450,18	
30/12/2020	387208671,26	
29/12/2020	327039449,09	
28/12/2020	282474352,64	
23/12/2020	281942925,43	
22/12/2020	222861756,57	
21/12/2020	330712385,86	
18/12/2020	135790585,41	
17/12/2020	314996358,73	
16/12/2020	324677014,18	
15/12/2020	284438775,92	
11/12/2020	309243869,77	
10/12/2020	295615144,18	
09/12/2020	92199842,36	
08/12/2020	181653131,43	
07/12/2020	169384901,05	
04/12/2020	226882029,74	
03/12/2020	327936049,40	
02/12/2020	192250999,22	
01/12/2020	203341496,85	
30/11/2020	291286402,48	
27/11/2020	208261518,58	
26/11/2020	295030660,96	
25/11/2020	240408903,11	
24/11/2020	107833970,34	
20/11/2020	189998047,10	
19/11/2020	301408215,15	
18/11/2020	180579469,00	
17/11/2020	86020694,17	
16/11/2020	302005152,22	
13/11/2020	235175674,50	
12/11/2020	157046235,02	
11/11/2020	284560573,66	
10/11/2020	189394688,97	
09/11/2020	163989666,80	
06/11/2020	328010057,77	
05/11/2020	336125156,04	
04/11/2020	51613282,93	
03/11/2020	259360500,58	
02/11/2020	298522640,00	
30/10/2020	294395044,67	
29/10/2020	244352911,09	
28/10/2020	239269500,72	
27/10/2020	257739382,91	
26/10/2020	166376769,24	
23/10/2020	259246507,06	
